"","NOME","PARTIDO","UF"
"609","CARLOS MARTINS","PT","PA"
"610","CEZAR SILVESTRI","PPS","PR"
"611","CHICO DAS VERDURAS","PRP","RR"
"612","CLAUDIO PUTY","PT","PA"
"613","DALVA FIGUEIREDO","PT","AP"
"614","DAVI ALCOLUMBRE","DEM","AP"
"615","DELEGADO PROTOGENES","PCdoB","SP"
"616","DENILSON TEIXEIRA","PV","MG"
"617","DEOCLIDES MACEDO","PDT","MA"
"618","DEVANIR RIBEIRO","PT","SP"
"619","DOMINGOS DUTRA","SD","MA"
"620","DR. ADILSON SOARES","PR","RJ"
"621","DR. CARLOS ALBERTO","PMN","RJ"
"622","DR. GRILO","SD","MG"
"623","DR. LUIZ FERNANDO","PSD","AM"
"624","DR. PAULO CESAR","PR","RJ"
"625","DR. ROSINHA","PT","PR"
"626","DR. UBIALI","PSB","SP"
"627","DRA. ELAINE ABISSAMRA","PSB","SP"
"628","DUDIMAR PAXIUBA","PROS","PA"
"629","EDSON EZEQUIEL","PMDB","RJ"
"630","EDSON PIMENTA","PSD","BA"
"631","EDSON SANTOS","PT","RJ"
"632","EDSON SILVA","PROS","CE"
"633","EDUARDO GOMES","SD","TO"
"634","EDUARDO SCIARRA","PSD","PR"
"635","ELEUSES PAIVA","PSD","SP"
"636","ELIENE LIMA","PSD","MT"
"637","ELISEU PADILHA","PMDB","RS"
"638","EMANUEL FERNANDES","PSDB","SP"
"639","EMILIANO JOSE","PT","BA"
"640","ENIO BACCI","PDT","RS"
"641","EUDES XAVIER","PT","CE"
"642","EURICO JUNIOR","PV","RJ"
"643","EVANDRO MILHOMEN","PCdoB","AP"
"644","FABIO SOUTO","DEM","BA"
"645","FABIO TRAD","PMDB","MS"
"646","FABRICIO OLIVEIRA","PSB","SC"
"647","FATIMA PELAES","PMDB","AP"
"648","FERNANDO FERRO","PT","PE"
"649","FERNANDO MARRONI","PT","RS"
"650","FERNANDO ZACHIA","PMDB","RS"
"651","FILIPE PEREIRA","PSC","RJ"
"652","FRANCISCO CHAGAS","PT","SP"
"653","FRANCISCO PRACIANO","PT","AM"
"654","FRANCISCO TENORIO","PMN","AL"
"655","GABRIEL CHALITA","PMDB","SP"
"656","GASTAO VIEIRA","PMDB","MA"
"657","GERALDO SIMOES","PT","BA"
"658","GERALDO THADEU","PSD","MG"
"659","GILBERTO COUTINHO","PT","AL"
"660","GIOVANI FELTES","PMDB","RS"
"661","GIOVANNI QUEIROZ","PDT","PA"
"662","GIROTO","PR","MS"
"663","GLADSON CAMELI","PP","AC"
"664","GUILHERME CAMPOS","PSD","SP"
"665","GUSTAVO PETTA","PCdoB","SP"
"666","HELCIO SILVA","PT","SP"
"667","HELIO SANTOS","PSDB","MA"
"668","HENRIQUE AFONSO","PV","AC"
"669","HENRIQUE EDUARDO ALVES","PMDB","RN"
"670","HENRIQUE OLIVEIRA","SD","AM"
"671","HUGO NAPOLEAO","PSD","PI"
"672","HUMBERTO MICHILES","PR","AM"
"673","IARA BERNARDI","PT","SP"
"674","INOCENCIO OLIVEIRA","PR","PE"
"675","IRINY LOPES","PT","ES"
"676","IRIS DE ARAUJO","PMDB","GO"
"677","JAIRO ATAIDE","DEM","MG"
"678","JANETE ROCHA PIETA","PT","SP"
"679","JANIO NATAL","PRP","BA"
"680","JAQUELINE RORIZ","PMN","DF"
"681","JESUS RODRIGUES","PT","PI"
"682","JOAO ANANIAS","PCdoB","CE"
"683","JOAO BITTAR","DEM","MG"
"684","JOAO CALDAS","SD","AL"
"685","JOAO DADO","SD","SP"
"686","JOAO LYRA","PSD","AL"
"687","JOAO MAGALHAES","PMDB","MG"
"688","JOAO MAIA","PR","RN"
"689","JOAO PAULO LIMA","PT","PE"
"690","JOAO PIZZOLATTI","PP","SC"
"691","JORGE BITTAR","PT","RJ"
"692","JOSE ANIBAL","PSDB","SP"
"693","JOSE AUGUSTO MAIA","PROS","PE"
"694","JOSE CHAVES","PTB","PE"
"695","JOSE HUMBERTO","PSD","MG"
"696","JOSE LINHARES","PP","CE"
"697","JOSEPH BANDEIRA","PSB","BA"
"698","JULIAO AMIN","PDT","MA"
"699","JULIO CAMPOS","DEM","MT"
"700","JUNIOR COIMBRA","PMDB","TO"
"701","JUNJI ABE","PSD","SP"
"702","LAEL VARELLA","DEM","MG"
"703","LAURIETE","PSC","ES"
"704","LEANDRO VILELA","PMDB","GO"
"705","LEO OLIVEIRA","PMDB","SP"
"706","LILIAM SA","PROS","RJ"
"707","LIRA MAIA","DEM","PA"
"708","LOURIVAL MENDES","PTdoB","MA"
"709","LUCI CHOINACKI","PT","SC"
"710","LUCIANO CASTRO","PR","RR"
"711","LUCIANO PIZZATTO","DEM","PR"
"712","LUIZ ALBERTO","PT","BA"
"713","LUIZ ARGOLO","SD","BA"
"714","LUIZ CARLOS","PSDB","AP"
"715","LUIZ DE DEUS","DEM","BA"
"716","LUIZ FERNANDO MACHADO","PSDB","SP"
"717","LUIZ OTAVIO","PMDB","PA"
"718","LUIZ PITIMAN","PSDB","DF"
"719","MAGELA","PT","DF"
"720","MAJOR FABIO","PROS","PB"
"721","MANOEL ANTUNES","PDT","SP"
"722","MANOEL SALVIANO","PSD","CE"
"723","MANUEL ROSA NECA","PR","RJ"
"724","MANUELA D'AVILA","PCdoB","RS"
"725","MARÇAL FILHO","PMDB","MS"
"726","MARCELINHO CARIOCA","PSB","SP"
"727","MARCELO ALMEIDA","PMDB","PR"
"728","MARCIO BITTAR","PSDB","AC"
"729","MARCIO FRANÇA","PSB","SP"
"730","MARCIO JUNQUEIRA","PROS","RR"
"731","MARCIO MACEDO","PT","SE"
"732","MARCIO MONTEIRO","PSDB","MS"
"733","MARCOS LIMA","PMDB","MG"
"734","MARCOS MEDRADO","SD","BA"
"735","MARIA LUCIA PRANDI","PT","SP"
"736","MARIO FEITOZA","PMDB","CE"
"737","MARLLOS SAMPAIO","PMDB","PI"
"738","MASSAMI MIKI","PSL","AM"
"739","MAURICIO ALMEIDA","PSB","MA"
"740","MAURICIO TRINDADE","PROS","BA"
"741","MENDONÇA PRADO","DEM","SE"
"742","MIRIQUINHO BATISTA","PT","PA"
"743","MOREIRA MENDES","PSD","RO"
"744","NARCIO RODRIGUES","PSDB","MG"
"745","NELSON NAHIM","PSD","RJ"
"746","NEWTON CARDOSO","PMDB","MG"
"747","NEWTON LIMA","PT","SP"
"748","NICE LOBAO","PSD","MA"
"749","NILDA GONDIM","PMDB","PB"
"750","ODILIO BALBINOTTI","PMDB","PR"
"751","OLIVEIRA FILHO","PRB","PR"
"752","ONOFRE SANTO AGOSTINI","PSD","SC"
"753","OSMAR BERTOLDI","DEM","PR"
"754","OSMAR JUNIOR","PCdoB","PI"
"755","OSVALDO COELHO","DEM","PE"
"756","OSVALDO REIS","PMDB","TO"
"757","OTONIEL LIMA","PRB","SP"
"758","OZIEL OLIVEIRA","PDT","BA"
"759","PADRE TON","PT","RO"
"760","PAULO BORNHAUSEN","PSB","SC"
"761","PAULO RUBEM SANTIAGO","PDT","PE"
"762","PEDRO EUGENIO","PT","PE"
"763","PEDRO NOVAIS","PMDB","MA"
"764","PENNA","PV","SP"
"765","PERPETUA ALMEIDA","PCdoB","AC"
"766","PINTO DE LUNA","PT","AL"
"767","PINTO ITAMARATY","PSDB","MA"
"768","POLICARPO","PT","DF"
"769","PROFESSOR SETIMO","PMDB","MA"
"770","RATINHO JUNIOR","PSC","PR"
"771","RAUL LIMA","PP","RR"
"772","REBECCA GARCIA","PP","AM"
"773","REGUFFE","PDT","DF"
"774","RENAN FILHO","PMDB","AL"
"775","RENATO SIMOES","PT","SP"
"776","ROBERTO DORNER","PSD","MT"
"777","ROBERTO SANTIAGO","PSD","SP"
"778","RODRIGO BETHLEM","PMDB","RJ"
"779","ROGERIO CARVALHO","PT","SE"
"780","ROMARIO","PSB","RJ"
"781","RONALDO CAIADO","DEM","GO"
"782","RONALDO ZULKE","PT","RS"
"783","ROSANE FERREIRA","PV","PR"
"784","ROSE DE FREITAS","PMDB","ES"
"785","ROSY DE SOUSA","PV","RN"
"786","RUI COSTA","PT","BA"
"787","RUY CARNEIRO","PSDB","PB"
"788","SABINO CASTELO BRANCO","PTB","AM"
"789","SALVADOR ZIMBALDI","PROS","SP"
"790","SANDRA ROSADO","PSB","RN"
"791","SANDRO MABEL","PMDB","GO"
"792","SEBASTIAO BALA ROCHA","SD","AP"
"793","SERGIO BARRADAS CARNEIRO","PT","BA"
"794","SIMPLICIO ARAUJO","SD","MA"
"795","STEPAN NERCESSIAN","PPS","RJ"
"796","SUELI VIDIGAL","PDT","ES"
"797","TAUMATURGO LIMA","PT","AC"
"798","TELMA PINHEIRO","PSDB","MA"
"799","URZENI ROCHA","PSD","RR"
"800","VANDERLEI SIRAQUE","PT","SP"
"801","VAZ DE LIMA","PSDB","SP"
"802","VIEIRA DA CUNHA","PDT","RS"
"803","VILALBA","PP","PE"
"804","VILMAR ROCHA","PSD","GO"
"805","VILSON COVATTI","PP","RS"
"806","VITOR PAULO","PRB","RJ"
"807","VITOR PENIDO","DEM","MG"
"808","WALTER IHOSHI","PSD","SP"
"809","WALTER TOSTA","PSD","MG"
"810","WANDENKOLK GONÇALVES","PSDB","PA"
"811","WELLINGTON FAGUNDES","PR","MT"
"812","WELLINGTON SALGADO","PMDB","MG"
"813","WILLIAM DIB","PSDB","SP"
"814","ZE CARLOS DA PESCA","PP","BA"
"815","ZE VIEIRA","PROS","MA"
"816","ZOINHO","PR","RJ"
